"DATE/TIME
DAY OF WEEK",CRIME TYPE DESCRIPTION,ADDRESS,INCIDENT #
 HOMICIDE, 1 crime(s) ,,
HOMICIDE,1000 BLOCK 37TH ST  ,"10/16/2015 23:42 
FRIDAY",151017000014
 ROBBERY, 10 crime(s) ,,
ROBBERY-INDIVIDUAL,2700 BLOCK SOMME AV  ,"10/13/2015 02:00 
TUESDAY",151013000004
ROBBERY-INDIVIDUAL,3000 BLOCK BALLENTINE BLVD  ,"10/13/2015 11:05 
TUESDAY",151013000077
ROBBERY-INDIVIDUAL,3100 BLOCK ARGONNE AV  ,"10/13/2015 11:45 
TUESDAY",151013000079
ROBBERY-INDIVIDUAL,500 BLOCK N MILITARY HWY  ,"10/13/2015 19:11 
TUESDAY",151013000128
ROBBERY-BUSINESS,3600 BLOCK SEWELLS POINT RD  ,"10/15/2015 21:59 
THURSDAY",151015000140
ROBBERY-INDIVIDUAL,400 BLOCK BANK ST  ,"10/15/2015 22:30 
THURSDAY",151017000046
ROBBERY-INDIVIDUAL,NA  ,"10/16/2015 23:43 
FRIDAY",151016000104
ROBBERY-INDIVIDUAL,4200 BLOCK PARKER AV  ,"10/17/2015 00:45 
SATURDAY",151017000004
ROBBERY-INDIVIDUAL,3800 BLOCK COLLEY AV  ,"10/17/2015 01:11 
SATURDAY",151017000013
ROBBERY-INDIVIDUAL,1500 BLOCK W. 42ND ST  ,"10/17/2015 01:21 
SATURDAY",151017000012
 AGGRAVATED ASSAULT, 12 crime(s) ,,
SHOOT INTO OCCUPIED DWELLING,800 BLOCK GOFF ST  ,"10/13/2015 22:00 
TUESDAY",151014000091
SHOOT INTO OCCUPIED DWELLING,1200 BLOCK BOTETOURT GDNS  ,"10/14/2015 09:00 
WEDNESDAY",151015000134
AGGRAVATED ASSAULT,8600 BLOCK GLEN MYRTLE AV  ,"10/15/2015 04:12 
THURSDAY",151015000104
SHOOT INTO OCCUPIED DWELLING,2500 BLOCK PALMYRA ST  ,"10/15/2015 23:00 
THURSDAY",151017000071
SHOOT INTO OCCUPIED DWELLING,3400 BLOCK HERBERT ST  ,"10/16/2015 21:20 
FRIDAY",151016000094
AGGRAVATED ASSAULT,800 BLOCK 34TH ST  ,"10/16/2015 21:49 
FRIDAY",151016000096
SHOOT INTO OCCUPIED DWELLING,4200 BLOCK PARKER AV  ,"10/17/2015 00:45 
SATURDAY",151017000004
SHOOT INTO OCCUPIED DWELLING,1500 BLOCK W 42ND ST  ,"10/17/2015 01:00 
SATURDAY",151017000062
SHOOT INTO OCCUPIED DWELLING,2700 BLOCK KELLER AV  ,"10/17/2015 01:06 
SATURDAY",151017000016
SHOOT INTO OCCUPIED DWELLING,1400 BLOCK 43RD ST  ,"10/17/2015 12:40 
SATURDAY",151017000068
AGGRAVATED ASSAULT,1200 BLOCK W 40TH ST  ,"10/18/2015 01:03 
SUNDAY",151018000014
AGGRAVATED ASSAULT,2600 BLOCK MIDDLE AV  ,"10/18/2015 15:35 
SUNDAY",151018000064
 SIMPLE ASSAULT, 26 crime(s) ,,
SIMPLE ASSAULT,8100 BLOCK WALTERS DR  ,"10/13/2015 10:30 
TUESDAY",151013023001
SIMPLE ASSAULT,200 BLOCK W 32ND ST  ,"10/13/2015 12:45 
TUESDAY",151013000095
SIMPLE ASSAULT,NA  ,"10/13/2015 16:30 
TUESDAY",151013000109
SIMPLE ASSAULT,9500 BLOCK 16TH BAY ST  ,"10/13/2015 17:50 
TUESDAY",151013000116
SIMPLE ASSAULT,8800 BLOCK CHESAPEAKE BLVD  ,"10/14/2015 17:09 
WEDNESDAY",151014000104
SIMPLE ASSAULT,100 BLOCK W BALVIEW AV  ,"10/14/2015 17:10 
WEDNESDAY",151014000103
SIMPLE ASSAULT,1200 BLOCK NORVIEW AV  ,"10/14/2015 17:30 
WEDNESDAY",151014000116
SIMPLE ASSAULT,2900 BLOCK E LITTLE CREEK RD  ,"10/14/2015 18:40 
WEDNESDAY",151014000111
SIMPLE ASSAULT,5500 BLOCK E VIRGINIA BEACH BLVD  ,"10/15/2015 03:00 
THURSDAY",151015000009
SIMPLE ASSAULT,800 BLOCK WIDGEON RD  ,"10/15/2015 12:41 
THURSDAY",151015000092
SIMPLE ASSAULT,6300 BLOCK SEWELLS POINT RD  ,"10/15/2015 15:00 
THURSDAY",151016184101
SIMPLE ASSAULT,200 BLOCK MAPLE AV  ,"10/15/2015 15:30 
THURSDAY",151015000106
SIMPLE ASSAULT,8100 BLOCK DIVEN ARC  ,"10/16/2015 05:20 
FRIDAY",151016000036
SIMPLE ASSAULT,NA  ,"10/16/2015 09:32 
FRIDAY",151016000028
SIMPLE ASSAULT,7400 BLOCK TIDEWATER DR  ,"10/16/2015 12:05 
FRIDAY",151016000052
SIMPLE ASSAULT,2200 BLOCK BARRAUD AV  ,"10/16/2015 13:18 
FRIDAY",151016000048
SIMPLE ASSAULT,800 BLOCK A AV  ,"10/17/2015 20:37 
SATURDAY",151017000093
SIMPLE ASSAULT,3100 BLOCK SOUTH CAPE HENRY AV  ,"10/17/2015 22:12 
SATURDAY",151017000101
SIMPLE ASSAULT,3300 BLOCK SEWELLS POINT RD  ,"10/17/2015 22:37 
SATURDAY",151017000103
SIMPLE ASSAULT,NA  ,"10/18/2015 00:00 
SUNDAY",151018000006
SIMPLE ASSAULT,1100 BLOCK CHURCH ST  ,"10/18/2015 06:50 
SUNDAY",151018000020
SIMPLE ASSAULT,7600 BLOCK SEWELLS POINT RD  ,"10/18/2015 10:45 
SUNDAY",151018000031
SIMPLE ASSAULT,800 BLOCK WHITAKER LN  ,"10/18/2015 11:31 
SUNDAY",151018000033
SIMPLE ASSAULT,300 BLOCK W OCEAN VIEW AV  ,"10/19/2015 02:00 
MONDAY",151019000005
SIMPLE ASSAULT,NA  ,"10/19/2015 20:28 
MONDAY",151019000097
SIMPLE ASSAULT,1400 BLOCK MOULTRIE AV  ,"10/19/2015 21:00 
MONDAY",151019000105
 BURGLARY, 15 crime(s) ,,
BURGLARY-RESIDENCE,9600 BLOCK 19TH BAY ST  ,"10/13/2015 04:20 
TUESDAY",151013000008
BURGLARY-RESIDENCE,800 BLOCK 34TH ST  ,"10/14/2015 05:30 
WEDNESDAY",151015000132
BURGLARY-RESIDENCE,3900 BLOCK KRICK ST  ,"10/14/2015 09:48 
WEDNESDAY",151014000039
BURGLARY-COMMERCIAL,1000 BLOCK 35TH ST  ,"10/14/2015 12:10 
WEDNESDAY",151014000060
BURGLARY-RESIDENCE,2900 BLOCK E LITTLE CREEK RD  ,"10/14/2015 20:00 
WEDNESDAY",151015000041
BURGLARY-RESIDENCE,800 BLOCK E VIRGINIA BEACH BLVD  ,"10/16/2015 08:00 
FRIDAY",151019000026
BURGLARY-RESIDENCE,400 BLOCK CHAPEL ST  ,"10/16/2015 13:00 
FRIDAY",151016000076
BURGLARY-RESIDENCE,1100 BLOCK HETHERSETT RD  ,"10/16/2015 14:00 
FRIDAY",151017000022
BURGLARY-COMMERCIAL,700 BLOCK GOFF ST  ,"10/16/2015 17:00 
FRIDAY",151018000023
BURGLARY-RESIDENCE,8100 BLOCK DIVEN ARC  ,"10/17/2015 14:00 
SATURDAY",151018000007
BURGLARY-NONRESIDENCE,1100 BLOCK NEWELL AV  ,"10/17/2015 21:00 
SATURDAY",151018000029
BURGLARY-RESIDENCE,1000 BLOCK CREAMER RD  ,"10/19/2015 09:50 
MONDAY",151019000040
BURGLARY-RESIDENCE,200 BLOCK W 31ST ST  ,"10/19/2015 10:30 
MONDAY",151019000081
BURGLARY-RESIDENCE,200 BLOCK W 31ST ST  ,"10/19/2015 11:56 
MONDAY",151019000053
BURGLARY-RESIDENCE,3600 BLOCK RIVERSIDE DR  ,"10/19/2015 14:20 
MONDAY",151019000073
 LARCENY (OTHER), 63 crime(s) ,,
LARCENY (ALL OTHERS),8200 BLOCK BUFFALO AV  ,"10/13/2015 06:00 
TUESDAY",151014000095
SHOPLIFTING AND CONCEALMENT,2300 BLOCK E LITTLE CREEK RD  ,"10/13/2015 12:50 
TUESDAY",151015000053
LARCENY (ALL OTHERS),8100 BLOCK DIVEN ARC  ,"10/13/2015 13:00 
TUESDAY",151013000124
LARCENY (ALL OTHERS),8100 BLOCK DIVEN ARC  ,"10/13/2015 13:00 
TUESDAY",151013000104
LARCENY-FROM BUILDING,1100 BLOCK N MILITARY HWY  ,"10/13/2015 13:12 
TUESDAY",151013000092
SHOPLIFTING AND CONCEALMENT,7500 BLOCK TIDEWATER DR  ,"10/13/2015 13:50 
TUESDAY",151013000102
LARCENY-FROM BUILDING,100 BLOCK W BAYVIEW BLVD  ,"10/13/2015 14:30 
TUESDAY",151016000057
SHOPLIFTING AND CONCEALMENT,300 BLOCK MONTICELLO AV  ,"10/13/2015 15:11 
TUESDAY",151014000088
LARCENY-FROM BUILDING,1500 BLOCK MALL DR  ,"10/13/2015 15:35 
TUESDAY",151015000067
LARCENY-FROM BUILDING,1400 BLOCK MCNEAL AV  ,"10/13/2015 17:00 
TUESDAY",151014000036
LARCENY-FROM BUILDING,1200 BLOCK N MILITARY HWY  ,"10/13/2015 17:30 
TUESDAY",151013237902
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/13/2015 17:43 
TUESDAY",151013000113
SHOPLIFTING AND CONCEALMENT,7500 BLOCK TIDEWATER DR  ,"10/13/2015 17:51 
TUESDAY",151013000123
LARCENY (ALL OTHERS),2000 BLOCK MANTEO ST  ,"10/13/2015 17:57 
TUESDAY",151014000089
SHOPLIFTING AND CONCEALMENT,6200 BLOCK SEWELLS POINT RD  ,"10/13/2015 18:58 
TUESDAY",151013000122
LARCENY (ALL OTHERS),100 BLOCK W 26TH ST  ,"10/13/2015 21:43 
TUESDAY",151013000139
LARCENY (ALL OTHERS),7900 BLOCK GALVESTON BLVD  ,"10/14/2015 01:00 
WEDNESDAY",151014000003
SHOPLIFTING AND CONCEALMENT,3600 BLOCK N MILITARY HWY  ,"10/14/2015 02:02 
WEDNESDAY",151014000005
LARCENY (ALL OTHERS),400 BLOCK SAINT PAULS BLVD  ,"10/14/2015 05:30 
WEDNESDAY",151016000055
LARCENY (ALL OTHERS),2800 BLOCK EARLY ST  ,"10/14/2015 13:00 
WEDNESDAY",151014000086
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/14/2015 14:00 
WEDNESDAY",151014000083
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/14/2015 15:09 
WEDNESDAY",151014000090
SHOPLIFTING AND CONCEALMENT,7500 BLOCK TIDEWATER DR  ,"10/14/2015 15:52 
WEDNESDAY",151014000131
LARCENY (ALL OTHERS),1000 BLOCK PARK AV  ,"10/14/2015 18:25 
WEDNESDAY",151014000110
LARCENY (ALL OTHERS),NA  ,"10/14/2015 18:30 
WEDNESDAY",151014000115
LARCENY (ALL OTHERS),800 BLOCK W 41ST ST  ,"10/14/2015 22:15 
WEDNESDAY",151014000133
LARCENY (ALL OTHERS),2500 BLOCK LEO ST  ,"10/15/2015 00:01 
THURSDAY",151016000042
LARCENY (ALL OTHERS),6600 BLOCK STONEY POINT NORTH  ,"10/15/2015 02:00 
THURSDAY",151016000075
LARCENY-FROM BUILDING,1800 BLOCK MCDOWELL RD  ,"10/15/2015 03:00 
THURSDAY",151015000051
LARCENY (ALL OTHERS),9600 BLOCK 17TH BAY ST  ,"10/15/2015 09:33 
THURSDAY",151015000046
SHOPLIFTING AND CONCEALMENT,7500 BLOCK TIDEWATER DR  ,"10/15/2015 12:25 
THURSDAY",151015000097
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/15/2015 15:25 
THURSDAY",151015000108
LARCENY (ALL OTHERS),9400 BLOCK 1ST VIEW ST  ,"10/15/2015 17:30 
THURSDAY",151017000044
SHOPLIFTING AND CONCEALMENT,6200 BLOCK CHESAPEAKE BLVD  ,"10/15/2015 18:20 
THURSDAY",151015000114
SHOPLIFTING AND CONCEALMENT,1100 BLOCK COLONIAL AV  ,"10/15/2015 21:45 
THURSDAY",151015000138
SHOPLIFTING AND CONCEALMENT,7500 BLOCK TIDEWATER DR  ,"10/16/2015 06:25 
FRIDAY",151016000102
LARCENY (ALL OTHERS),6100 BLOCK ALEXANDER ST  ,"10/16/2015 08:00 
FRIDAY",151017000072
LARCENY (ALL OTHERS),3500 BLOCK GRANBY ST  ,"10/16/2015 10:30 
FRIDAY",151016000087
