The Virginia Beach Police Department does not assume any liability for decisions made or actions taken or not taken by the recipient based on the information provided.

Every effort has been made to ensure the accuracy and completeness of the information provided. However, in some instances, cases of a sensitive nature that are under active investigation may be temporarily excluded from this site. Please refer to the user agreement statements located under the Related Documents link for more information. 

The data provided cannot be aggregated to calculate official crime volume and rates in Virginia Beach.  Official crime statistics can be found in the Virginia Beach Police Department Annual Reports.

About Neighborhood Crime: Information contained in this report is in Incident Based Reporting (IBR) format. Under IBR each offense (the crimes) that occurs during the incident (the event) is counted. This is in contrast to Uniform Crime Report (UCR) rules, where only the most severe offense is counted. For example, if a rape and robbery occurred in the same incident, under IBR both the rape and robbery are counted. Under the UCR system, only the rape is counted.  
Secondary crimes are denoted by an asterisk (*). The ATT/COM column refers to attempted or completed offenses. All victims involved in a Crime Against Persons are counted. For example, if an assault occurred with three victims, the report lists three lines of data. Motor vehicle thefts are counted once for each vehicle stolen. Unfounded incidents are excluded, meaning that after further investigation, the police determined that the reported crime did not actually occur. Incidents containing “Undetermined” in the Neighborhood column could not be matched to a neighborhood. The street number most likely fell outside the block range contained in our database.

About Incident Reports:  Information contained in this report represents the number of reports written by VBPD officers.  It is not in UCR or IBR format.

About Accident Reports:  Information contained in this report represents the number of accident calls for service received in the E911 Center.  The call may not result in a report.  


 
Crime Summary by Neighborhood                                                                       
Reporting Period: 01/01/2013 - 10/20/2015                                                           
Crime Subset: All Crimes                                                                            
16561 record(s) found.                                                                              
 
Neighborhood                                                Crime Description (Crime Code)                                             Crime Count 
[Undetermined]                                              ABDUCTION/ KIDNAPPING (100A)                                               2           
[Undetermined]                                              ALL OTHER REPORTABLE OFFENSES (90ZZ)                                       10          
[Undetermined]                                              ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       18          
[Undetermined]                                              ARSON (200 )                                                               13          
[Undetermined]                                              ASSAULT, AGGRAVATED (13A1)                                                 9           
[Undetermined]                                              ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       4           
[Undetermined]                                              ASSAULT, SIMPLE (13B1)                                                     167         
[Undetermined]                                              ASSAULT, SIMPLE, DOMESTIC (13B2)                                           60          
[Undetermined]                                              BAD CHECKS (90A )                                                          1           
[Undetermined]                                              BOMB THREATS (13C6)                                                        3           
[Undetermined]                                              BURGLARY/ B & E, COMMERCIAL (220B)                                         11          
[Undetermined]                                              BURGLARY/ B & E, RESIDENTIAL (220A)                                        13          
[Undetermined]                                              COUNTERFEITING/ FORGERY, ALL OTHERS (250A)                                 10          
[Undetermined]                                              CRUELTY TO ANIMALS (90Z4)                                                  22          
[Undetermined]                                              DESTRUCTION OF PROPERTY, CITY - GRAFFITI (290C)                            16          
[Undetermined]                                              DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              14          
[Undetermined]                                              DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         11          
[Undetermined]                                              DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           114         
[Undetermined]                                              DISTURBING THE PEACE (90C2)                                                2           
[Undetermined]                                              DRIVING UNDER THE INFLUENCE, ALCOHOL (90D1)                                3           
[Undetermined]                                              DRIVING UNDER THE INFLUENCE, DRUGS (90D2)                                  2           
[Undetermined]                                              DRUG/ EQUIPMENT VIOLATIONS (35B )                                          108         
[Undetermined]                                              DRUG/ NARCOTIC VIOLATIONS (35A1)                                           240         
[Undetermined]                                              EMBEZZLEMENT (270A)                                                        1           
[Undetermined]                                              EXTORTION (210 )                                                           2           
[Undetermined]                                              FALSE INFORMATION TO POLICE (90Z8)                                         3           
[Undetermined]                                              FAMILY OFFENSE, NONVIOLENT, CHILD ABUSE (90F2)                             1           
[Undetermined]                                              FAMILY OFFENSE, NONVIOLENT, CHILD ENDANGERMENT (90F4)                      1           
[Undetermined]                                              FAMILY OFFENSE, NONVIOLENT, CHILD NEGLECT (90F1)                           3           
[Undetermined]                                              FAMILY OFFENSE, NONVIOLENT, CONTRIBUTE TO DELINQUENCY OF MIN (90F3)        4           
[Undetermined]                                              FORCIBLE FONDLING (11D1)                                                   1           
[Undetermined]                                              FORCIBLE INDECENT LIBERTIES (11B2)                                         1           
[Undetermined]                                              FORCIBLE RAPE (11A )                                                       8           
[Undetermined]                                              FORCIBLE SODOMY (11B1)                                                     2           
[Undetermined]                                              FORGERY BY CHECK (250B)                                                    3           
[Undetermined]                                              FRAUD, ALL OTHERS (26A1)                                                   5           
[Undetermined]                                              FRAUD, BY PRESCRIPTION (26A5)                                              7           
[Undetermined]                                              FRAUD, CREDIT CARD (26B1)                                                  6           
[Undetermined]                                              FRAUD, IDENTITY THEFT (26A7)                                               29          
[Undetermined]                                              FRAUD, INNKEEPER (26A2)                                                    1           
[Undetermined]                                              FRAUD, TRICK, FALSE PRETENSES (26A3)                                       4           
[Undetermined]                                              FRAUD, USE FALSE NAME (26A6)                                               4           
[Undetermined]                                              FRAUD, WELFARE (26D )                                                      1           
[Undetermined]                                              FUGITIVE (OUT OF STATE) (90ZB)                                             7           
[Undetermined]                                              HIT & RUN (90ZC)                                                           191         
[Undetermined]                                              IMPERSONATION/ IMPERSONATE POLICE OFFICER (26C )                           2           
[Undetermined]                                              INDECENT EXPOSURE (90ZE)                                                   2           
[Undetermined]                                              INTIMIDATION (13C1)                                                        1           
[Undetermined]                                              LARCENY, ALL OTHERS (23H )                                                 99          
[Undetermined]                                              LARCENY, FROM BUILDING (23D )                                              44          
[Undetermined]                                              LARCENY, FROM MOTOR VEHICLE (23F )                                         91          
[Undetermined]                                              LARCENY, POCKET PICKING (23A )                                             1           
[Undetermined]                                              LARCENY, PURSE SNATCHING (23B )                                            3           
[Undetermined]                                              LARCENY, SHOPLIFTING (23C )                                                9           
[Undetermined]                                              LARCENY, WATERCRAFT (23H3)                                                 1           
[Undetermined]                                              MAIMING (100B)                                                             2           
[Undetermined]                                              MOTOR VEHICLE THEFT (240 )                                                 19          
[Undetermined]                                              OBSCENE PHONE CALL/ COMMUNICATION (90ZH)                                   2           
[Undetermined]                                              OBSTRUCTING JUSTICE (90ZJ)                                                 5           
[Undetermined]                                              OVERDOSE (90ZK)                                                            4           
[Undetermined]                                              PORNOGRAPHY/ OBSCENE MATERIAL (370 )                                       1           
[Undetermined]                                              PROSTITUTION & COMMERCIALIZED VICE (40A )                                  5           
[Undetermined]                                              RECOVERED VEHICLE- STOLEN OTHER JURISDICTION (99R )                        4           
[Undetermined]                                              ROBBERY (120A)                                                             22          
[Undetermined]                                              SEXUAL BATTERY (11D2)                                                      6           
[Undetermined]                                              STALKING (13C5)                                                            3           
[Undetermined]                                              STATUTORY RAPE/ CARNAL KNOWLEDGE (36B )                                    1           
[Undetermined]                                              STOLEN PROPERTY OFFENSES (280A)                                            1           
[Undetermined]                                              TAMPERING WITH AUTO (290G)                                                 1           
[Undetermined]                                              THREATEN BODILY HARM (13C4)                                                32          
[Undetermined]                                              THREATEN TO BURN (13C7)                                                    2           
[Undetermined]                                              THROWING OBJECT AT MOVING VEHICLE (290H)                                   4           
[Undetermined]                                              TRESPASS OF REAL PROPERTY (90J )                                           18          
[Undetermined]                                              UNAUTHORIZED USE OF AUTO (270B)                                            4           
[Undetermined]                                              VIOLATE PROTECTIVE ORDER (90P )                                            3           
[Undetermined]                                              WEAPON LAW VIOLATIONS (520A)                                               27          
[Undetermined]                                              WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     9           
[Undetermined]                                              WEAPON LAW, DISCHARGE FIREARM IN DWELLING (520D)                           1           
[Undetermined]                                              WEAPON LAW, EXPLOSIVES (520E)                                              1           
[Undetermined]                                              WEAPON LAW, FIRE BOMB (520F)                                               2           
ABINGDON VILLAGE IN COLLEGE PARK                            ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       2           
ABINGDON VILLAGE IN COLLEGE PARK                            ASSAULT, AGGRAVATED (13A1)                                                 1           
ABINGDON VILLAGE IN COLLEGE PARK                            ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       1           
ABINGDON VILLAGE IN COLLEGE PARK                            ASSAULT, AGGRAVATED/ ATMP MURDER (13A2)                                    1           
ABINGDON VILLAGE IN COLLEGE PARK                            ASSAULT, SIMPLE (13B1)                                                     20          
ABINGDON VILLAGE IN COLLEGE PARK                            ASSAULT, SIMPLE, DOMESTIC (13B2)                                           6           
ABINGDON VILLAGE IN COLLEGE PARK                            BURGLARY/ B & E, COMMERCIAL (220B)                                         1           
ABINGDON VILLAGE IN COLLEGE PARK                            BURGLARY/ B & E, RESIDENTIAL (220A)                                        15          
ABINGDON VILLAGE IN COLLEGE PARK                            COUNTERFEITING/ FORGERY, ALL OTHERS (250A)                                 2           
